C(t);H(t-1);L(t-1);O(t)
1.2059000;1.2010900;1.1991200;1.1995000
1.2012500;1.2081300;1.1995000;1.2059300
1.2068600;1.2066300;1.2000000;1.2012300
1.2041800;1.2090000;1.2002800;1.2068400
1.2026000;1.2082800;1.2019000;1.2041800
1.2024600;1.2042500;1.2022000;1.2029100
1.1967000;1.2034000;1.2014000;1.2024500
1.1937600;1.2052300;1.1954000;1.1966800
1.1956700;1.1975700;1.1914000;1.1936000
1.2030600;1.2018100;1.1922000;1.1956600
1.2187000;1.2060000;1.1928000;1.2030500
1.2199100;1.2188700;1.2027000;1.2186900
1.2195200;1.2218800;1.2186000;1.2197800
1.2269400;1.2206000;1.2187200;1.2195100
1.2266400;1.2296700;1.2186000;1.2269100
1.2212800;1.2283500;1.2194000;1.2265000
1.2238600;1.2323200;1.2195000;1.2212800
1.2220700;1.2264900;1.2163800;1.2238600
1.2219500;1.2295400;1.2217000;1.2220700
1.2269100;1.2233800;1.2213000;1.2261000
1.2258400;1.2273000;1.2259000;1.2269000
1.2293700;1.2274000;1.2213000;1.2258300
1.2398100;1.2306300;1.2221900;1.2293600
1.2406000;1.2414900;1.2289800;1.2398900
1.2419900;1.2537800;1.2363000;1.2406200
1.2422400;1.2493700;1.2368200;1.2419800
1.2423000;1.2432500;1.2416000;1.2427000
1.2382600;1.2434000;1.2419900;1.2423000
1.2394000;1.2432300;1.2335000;1.2382100
1.2415100;1.2454000;1.2334000;1.2394200
1.2514000;1.2474900;1.2386000;1.2415100
1.2461500;1.2522900;1.2384000;1.2513800
1.2457000;1.2520000;1.2408000;1.2461400
1.2432600;1.2462700;1.2450400;1.2452500
1.2387800;1.2459000;1.2430000;1.2432500
1.2371500;1.2474900;1.2386000;1.2388000
1.2260400;1.2434600;1.2312000;1.2371800
1.2243300;1.2406100;1.2244000;1.2260700
1.2234800;1.2295000;1.2210000;1.2243100
1.2251500;1.2287300;1.2204000;1.2235000
1.2245000;1.2255100;1.2231000;1.2252000
1.2290700;1.2254400;1.2241700;1.2244000
1.2356100;1.2297700;1.2233000;1.2290900
1.2463400;1.2371100;1.2283000;1.2356200
1.2504300;1.2464600;1.2275000;1.2463600
1.2405600;1.2510400;1.2446000;1.2504800
1.2411000;1.2555600;1.2392000;1.2405300
1.2398000;1.2412800;1.2401900;1.2404000
1.2405300;1.2410500;1.2394000;1.2398000
1.2335600;1.2435200;1.2367000;1.2406000
1.2290100;1.2412300;1.2318900;1.2335700
1.2325000;1.2359900;1.2279800;1.2290100
1.2294400;1.2352100;1.2257900;1.2324600
1.2294000;1.2337400;1.2278000;1.2294100
1.2289300;1.2298500;1.2287700;1.2295100
1.2313000;1.2298000;1.2280800;1.2289200
1.2229000;1.2355200;1.2276000;1.2312900
1.2199600;1.2346400;1.2220000;1.2229000
1.2262600;1.2241800;1.2186000;1.2200000
1.2330900;1.2273100;1.2153000;1.2262500
1.2317000;1.2335900;1.2250000;1.2330900
1.2355600;1.2331300;1.2314000;1.2322000
1.2338100;1.2356000;1.2317700;1.2355700
1.2402700;1.2364400;1.2267000;1.2338200
1.2412700;1.2420300;1.2327000;1.2402700
1.2312500;1.2444900;1.2383000;1.2412600
1.2306500;1.2446200;1.2297000;1.2312600
1.2305000;1.2334300;1.2272000;1.2306400
1.2310500;1.2309300;1.2302000;1.2307600
1.2333500;1.2315200;1.2307600;1.2313000
1.2389200;1.2345600;1.2289000;1.2332800
1.2367000;1.2410000;1.2313000;1.2389200
1.2304200;1.2412700;1.2346000;1.2366100
1.2287100;1.2383600;1.2299000;1.2304300
1.2285000;1.2336400;1.2259600;1.2289000
1.2282700;1.2289000;1.2284000;1.2282800
1.2334800;1.2300000;1.2281800;1.2288900
1.2240800;1.2358800;1.2257000;1.2334300
1.2337600;1.2354700;1.2237000;1.2240900
1.2301600;1.2350000;1.2238900;1.2337400
1.2350200;1.2390000;1.2284000;1.2301000
1.2352400;1.2373400;1.2296900;1.2351000
1.2348000;1.2352400;1.2350400;1.2347500
1.2442200;1.2353000;1.2340900;1.2352700
1.2402400;1.2461600;1.2348500;1.2443400
1.2306200;1.2476500;1.2371000;1.2402200
1.2300600;1.2421600;1.2298000;1.2307000
1.2319000;1.2335600;1.2282000;1.2300200
1.2323000;1.2330600;1.2287300;1.2323000
1.2320200;1.2323000;1.2323000;1.2321000
1.2301000;1.2330000;1.2319500;1.2325400
1.2269800;1.2345000;1.2280000;1.2301500
1.2277600;1.2336400;1.2252000;1.2269000
1.2239000;1.2314900;1.2255000;1.2277700
1.2278800;1.2290300;1.2217000;1.2239000
1.2282500;1.2291000;1.2214000;1.2281000
1.2285000;1.2282500;1.2278700;1.2278000
1.2320300;1.2287100;1.2274800;1.2283800
1.2355200;1.2330800;1.2259000;1.2319400
1.2366600;1.2377600;1.2301000;1.2354400
1.2325000;1.2396400;1.2346000;1.2365600
1.2328200;1.2379800;1.2298000;1.2325100
1.2328300;1.2346000;1.2306000;1.2328300
1.2331300;1.2328300;1.2328300;1.2327300
1.2378900;1.2337000;1.2326000;1.2329300
1.2368700;1.2394600;1.2321300;1.2378300
1.2373500;1.2413700;1.2335000;1.2368700
1.2344700;1.2397200;1.2341000;1.2372900
1.2287000;1.2400300;1.2328000;1.2345300
1.2286400;1.2353000;1.2249000;1.2285300
1.2271100;1.2286400;1.2285000;1.2286300
1.2208300;1.2286500;1.2263000;1.2271600
1.2231900;1.2290000;1.2196000;1.2208300
1.2160000;1.2244900;1.2180000;1.2231100
1.2103200;1.2238800;1.2158000;1.2159800
1.2128900;1.2210000;1.2093000;1.2102900
1.2125000;1.2133000;1.2053000;1.2128000
1.2121800;1.2128100;1.2125000;1.2124700
1.2077200;1.2130400;1.2119000;1.2128300
1.1991500;1.2140000;1.2062000;1.2076800
1.1950300;1.2084200;1.1979000;1.1992400
1.1988000;1.2031700;1.1936000;1.1949900
1.1958500;1.2010000;1.1946000;1.1987400
1.1956000;1.1995600;1.1909000;1.1951800
1.1922000;1.1966000;1.1945500;1.1963000
1.1863900;1.1978000;1.1896000;1.1921500
1.1849800;1.1938800;1.1837000;1.1863900
1.1914900;1.1897000;1.1821000;1.1850100
1.1938900;1.1946700;1.1841900;1.1914900
1.1941500;1.1970000;1.1890000;1.1942000
1.1940000;1.1942000;1.1941500;1.1943900
1.1926100;1.1950000;1.1936800;1.1937000
1.1837100;1.1996100;1.1924000;1.1926000
1.1806800;1.1940000;1.1819000;1.1837200
1.1793100;1.1854200;1.1762000;1.1806300
1.1772000;1.1837400;1.1775000;1.1793100
1.1769900;1.1822100;1.1749000;1.1768400
1.1770500;1.1769900;1.1767900;1.1760000
1.1790800;1.1779000;1.1760000;1.1767900
1.1778300;1.1795600;1.1715000;1.1791100
1.1694800;1.1830000;1.1755000;1.1777600
1.1719200;1.1789700;1.1674000;1.1694900
1.1645000;1.1750300;1.1689000;1.1719300
1.1650000;1.1733600;1.1644000;1.1649000
1.1684500;1.1650000;1.1649000;1.1654200
1.1623700;1.1688000;1.1647800;1.1686000
1.1538700;1.1730000;1.1605000;1.1623400
1.1663500;1.1640000;1.1509000;1.1539200
1.1690100;1.1676300;1.1517000;1.1661200
1.1657100;1.1724300;1.1640000;1.1690100
1.1658800;1.1718000;1.1616100;1.1658000
1.1659000;1.1658800;1.1658000;1.1654000
1.1697700;1.1661600;1.1651000;1.1658900
1.1716800;1.1744500;1.1655400;1.1697000
1.1773500;1.1732100;1.1651000;1.1716200
1.1797700;1.1795700;1.1709000;1.1773200
1.1769000;1.1840000;1.1771000;1.1798100
1.1767700;1.1810300;1.1725000;1.1767000
1.1774000;1.1767700;1.1767000;1.1764000
1.1782100;1.1777300;1.1751900;1.1772300
1.1744200;1.1820600;1.1770000;1.1782000
1.1790800;1.1810000;1.1732000;1.1744500
1.1566500;1.1801000;1.1724800;1.1790800
1.1609000;1.1851800;1.1562000;1.1565600
1.1609000;1.1627000;1.1542000;1.1609000
1.1586000;1.1609000;1.1609000;1.1606000
1.1622200;1.1610000;1.1583000;1.1587500
1.1586900;1.1624400;1.1564000;1.1622200
1.1570200;1.1644500;1.1529800;1.1586900
1.1602600;1.1600000;1.1536000;1.1570300
1.1654000;1.1633500;1.1507000;1.1603200
1.1653600;1.1675000;1.1598000;1.1653600
1.1664000;1.1653600;1.1653600;1.1656500
1.1703000;1.1669000;1.1654000;1.1664000
1.1646300;1.1713100;1.1627000;1.1702700
1.1553000;1.1720500;1.1634000;1.1646100
1.1568400;1.1672200;1.1539000;1.1553600
1.1688000;1.1600600;1.1526000;1.1567100
1.1683900;1.1690400;1.1557000;1.1684000
1.1675700;1.1684000;1.1682100;1.1650800
1.1638700;1.1690600;1.1629000;1.1675000
1.1656800;1.1691800;1.1590000;1.1638900
1.1655400;1.1673200;1.1619000;1.1654900
1.1689000;1.1681900;1.1628000;1.1655500
1.1742000;1.1720300;1.1648000;1.1689500
1.1746200;1.1767800;1.1679000;1.1745000
1.1741000;1.1746200;1.1744000;1.1743000
1.1750200;1.1754000;1.1735000;1.1740400
1.1744200;1.1790800;1.1731000;1.1749600
1.1672100;1.1762700;1.1689000;1.1743600
1.1669900;1.1760000;1.1664000;1.1672700
1.1684300;1.1695800;1.1648000;1.1670000
1.1688000;1.1686800;1.1611000;1.1682000
1.1710700;1.1692000;1.1682000;1.1689300
1.1660700;1.1725400;1.1674000;1.1710800
1.1638400;1.1744700;1.1649000;1.1659800
1.1640500;1.1665000;1.1600000;1.1637800
1.1721000;1.1678500;1.1574000;1.1641700
1.1718000;1.1738900;1.1625000;1.1722000
1.1725500;1.1722000;1.1718000;1.1722000
1.1691500;1.1734000;1.1719700;1.1724800
1.1685700;1.1751200;1.1682000;1.1691300
1.1728000;1.1716900;1.1653000;1.1682400
1.1642400;1.1738700;1.1663000;1.1727800
1.1654500;1.1743600;1.1639000;1.1642600
1.1659000;1.1664400;1.1619000;1.1661500
1.1657000;1.1661500;1.1659000;1.1655600
1.1703800;1.1662000;1.1650000;1.1656100
1.1690000;1.1720000;1.1646000;1.1703800
1.1659500;1.1745900;1.1682200;1.1689700
1.1583300;1.1699700;1.1656000;1.1658900
1.1565200;1.1667600;1.1580800;1.1583400
1.1565000;1.1610700;1.1559000;1.1566000
1.1568400;1.1566000;1.1565000;1.1565500
1.1553300;1.1572200;1.1564000;1.1567000
1.1598000;1.1571100;1.1528000;1.1553000
1.1609800;1.1608200;1.1545000;1.1598400
1.1526200;1.1628200;1.1571000;1.1609800
1.1410000;1.1619500;1.1525000;1.1526700
1.1411500;1.1536600;1.1386000;1.1411500
1.1372000;1.1411500;1.1411500;1.1386000
1.1409000;1.1390500;1.1367000;1.1370000
1.1343900;1.1432900;1.1364000;1.1409800
1.1344000;1.1429400;1.1329000;1.1343300
1.1375100;1.1354900;1.1300000;1.1344100
1.1437300;1.1409200;1.1334000;1.1376600
1.1437000;1.1444900;1.1364000;1.1437000
1.1437000;1.1437300;1.1435300;1.1436400
1.1484400;1.1439900;1.1432000;1.1437200
1.1570500;1.1484900;1.1393000;1.1486900
1.1595700;1.1601200;1.1484000;1.1569800
1.1537500;1.1622900;1.1552000;1.1596500
1.1618900;1.1599600;1.1528000;1.1537700
1.1621000;1.1639900;1.1533000;1.1621000
1.1616200;1.1621200;1.1621000;1.1630000
1.1677300;1.1630000;1.1610000;1.1615100
1.1694400;1.1693700;1.1593000;1.1676900
1.1706700;1.1733500;1.1661000;1.1693700
1.1670800;1.1710000;1.1651000;1.1706100
1.1599700;1.1718200;1.1639000;1.1670800
1.1599000;1.1690100;1.1583000;1.1601800
1.1595000;1.1601800;1.1599000;1.1595300
1.1617500;1.1607600;1.1587300;1.1594900
1.1580500;1.1627900;1.1588000;1.1616900
1.1628900;1.1624000;1.1529000;1.1580000
1.1620500;1.1640300;1.1542000;1.1628900
1.1552000;1.1659300;1.1604000;1.1622800
1.1552100;1.1649500;1.1549000;1.1552000
1.1548000;1.1552100;1.1550500;1.1549000
1.1591400;1.1555100;1.1547000;1.1548000
1.1604200;1.1616100;1.1525000;1.1591400
1.1625100;1.1644200;1.1564000;1.1604200
1.1689700;1.1649700;1.1568000;1.1625300
1.1622700;1.1701000;1.1607000;1.1689400
1.1624600;1.1721600;1.1618600;1.1622000
1.1623000;1.1624600;1.1622000;1.1620000
1.1682300;1.1630000;1.1616000;1.1623000
1.1664000;1.1698200;1.1617000;1.1682300
1.1671800;1.1724500;1.1651000;1.1663800
1.1775000;1.1714900;1.1649000;1.1671900
1.1748200;1.1784500;1.1667000;1.1776300
1.1747400;1.1802700;1.1731000;1.1749000
1.1744000;1.1749000;1.1746100;1.1749000
1.1747200;1.1751800;1.1737000;1.1744600
1.1765700;1.1815300;1.1722000;1.1747400
1.1738000;1.1792600;1.1730000;1.1765300
1.1639800;1.1797800;1.1725000;1.1738100
1.1601700;1.1757100;1.1637000;1.1640600
1.1600000;1.1651200;1.1569000;1.1600000
1.1616200;1.1600000;1.1600000;1.1606600
1.1577600;1.1626800;1.1601000;1.1615900
1.1546800;1.1624600;1.1562000;1.1577500
1.1476000;1.1580200;1.1504000;1.1546800
1.1513800;1.1593700;1.1463000;1.1476000
1.1518100;1.1542800;1.1462000;1.1513700
1.1522900;1.1549700;1.1483000;1.1521000
1.1520900;1.1523000;1.1521000;1.1516000
1.1490900;1.1532800;1.1516000;1.1520200
1.1488000;1.1529600;1.1458000;1.1490800
1.1519000;1.1503400;1.1429000;1.1487600
1.1592500;1.1545400;1.1477000;1.1517600
1.1557100;1.1599300;1.1517500;1.1592700
1.1558500;1.1610500;1.1533000;1.1558500
1.1540300;1.1558500;1.1558500;1.1559300
1.1579000;1.1563200;1.1534000;1.1541000
1.1573400;1.1606200;1.1537800;1.1578900
1.1500000;1.1621500;1.1563000;1.1572200
1.1452400;1.1580500;1.1495000;1.1500000
1.1512300;1.1527300;1.1448000;1.1452200
1.1512900;1.1534600;1.1432000;1.1513000
1.1515500;1.1514000;1.1511200;1.1510500
1.1463600;1.1518000;1.1507000;1.1514800
1.1468300;1.1550200;1.1454000;1.1463400
1.1391300;1.1493800;1.1438000;1.1470100
1.1374100;1.1476800;1.1378000;1.1391400
1.1401000;1.1432600;1.1355000;1.1374500
1.1400000;1.1421200;1.1334000;1.1402000
1.1390100;1.1402000;1.1400000;1.1405800
1.1372100;1.1409000;1.1385000;1.1392000
1.1343400;1.1416400;1.1359000;1.1372100
1.1311300;1.1387900;1.1337000;1.1343100
1.1407900;1.1360400;1.1300000;1.1311000
1.1386200;1.1424100;1.1304600;1.1407700
1.1387000;1.1455800;1.1371000;1.1389000
1.1399600;1.1389000;1.1385400;1.1395000
1.1407700;1.1406900;1.1394000;1.1399500
1.1417800;1.1424000;1.1352800;1.1407500
1.1438700;1.1438000;1.1390000;1.1417700
1.1359000;1.1499700;1.1393000;1.1438900
1.1337300;1.1446900;1.1350000;1.1360200
1.1333000;1.1369000;1.1315000;1.1336800
1.1314000;1.1339800;1.1331000;1.1332000
1.1233400;1.1332000;1.1310000;1.1314000
1.1284800;1.1331000;1.1232000;1.1233400
1.1322400;1.1293600;1.1214000;1.1284800
1.1331800;1.1347600;1.1262000;1.1322400
1.1415100;1.1362400;1.1269800;1.1332500
1.1418000;1.1420100;1.1318000;1.1416000
1.1402000;1.1420300;1.1411000;1.1408000
1.1450000;1.1411600;1.1397000;1.1402600
1.1369000;1.1465000;1.1393000;1.1451200
1.1382300;1.1472400;1.1356000;1.1369100
1.1404900;1.1424800;1.1362000;1.1382500
1.1329000;1.1434100;1.1378700;1.1404200
1.1336500;1.1421200;1.1326200;1.1329600
1.1341000;1.1338000;1.1327000;1.1340600
1.1333900;1.1348000;1.1338000;1.1339000
1.1296300;1.1383700;1.1324000;1.1333900
1.1369500;1.1343700;1.1276000;1.1296500
1.1389300;1.1387500;1.1265000;1.1369500
1.1321400;1.1401800;1.1347000;1.1389400
1.1319200;1.1400500;1.1304000;1.1320700
1.1356900;1.1322200;1.1312200;1.1346500
1.1344800;1.1367300;1.1342000;1.1357000
1.1337600;1.1379800;1.1318000;1.1344200
1.1344000;1.1419000;1.1317000;1.1337600
1.1381900;1.1361300;1.1309900;1.1344500
1.1410900;1.1412600;1.1320000;1.1381900
1.1389200;1.1423700;1.1359000;1.1410600
1.1386600;1.1412000;1.1377600;1.1395000
1.1354700;1.1402300;1.1380000;1.1385000
1.1326500;1.1442700;1.1348000;1.1354700
1.1370900;1.1400400;1.1305000;1.1326400
1.1363800;1.1387300;1.1312000;1.1371000
1.1299900;1.1393300;1.1330000;1.1363200
1.1307000;1.1365000;1.1268000;1.1300100
1.1301000;1.1307000;1.1298000;1.1302800
1.1345200;1.1305500;1.1297000;1.1302000
1.1363800;1.1357700;1.1296900;1.1345300
1.1373200;1.1402300;1.1335000;1.1363100
1.1459600;1.1439300;1.1354600;1.1372800
1.1358800;1.1485900;1.1366000;1.1459800
1.1367000;1.1474000;1.1354000;1.1358800
1.1361800;1.1374600;1.1356000;1.1369700
1.1405500;1.1387000;1.1355000;1.1364800
1.1387000;1.1438600;1.1359000;1.1405400
1.1353400;1.1417600;1.1364500;1.1387000
1.1439700;1.1420000;1.1341000;1.1353400
1.1442000;1.1454200;1.1347000;1.1439800
1.1441500;1.1472800;1.1425000;1.1441900
1.1440000;1.1451000;1.1437900;1.1445000
1.1456000;1.1450000;1.1438000;1.1441600
1.1459000;1.1466100;1.1420000;1.1456000
1.1345400;1.1545000;1.1446000;1.1454300
1.1398300;1.1496800;1.1324000;1.1345400
1.1402600;1.1411000;1.1308000;1.1398100
1.1394200;1.1419100;1.1344000;1.1402200
1.1399000;1.1403400;1.1392500;1.1396500
1.1476800;1.1401000;1.1395000;1.1397900
1.1440200;1.1482600;1.1393200;1.1476100
1.1554100;1.1484600;1.1421000;1.1440300
1.1497800;1.1558000;1.1435000;1.1553500
1.1462600;1.1569800;1.1483000;1.1497800
1.1464000;1.1540600;1.1456000;1.1462500
1.1452000;1.1469300;1.1457000;1.1461200
1.1468600;1.1463200;1.1439000;1.1451700
1.1413200;1.1482100;1.1449000;1.1468600
1.1391700;1.1489700;1.1380000;1.1412700
1.1391300;1.1424800;1.1376000;1.1392600
1.1365100;1.1407000;1.1369000;1.1390000
1.1360000;1.1410400;1.1352000;1.1365000
1.1363600;1.1366000;1.1359000;1.1361700
1.1368100;1.1366300;1.1360000;1.1363700
1.1351700;1.1391100;1.1355000;1.1368100
1.1382500;1.1374000;1.1335000;1.1352200
1.1307700;1.1394400;1.1349000;1.1382500
1.1414600;1.1391400;1.1288000;1.1307800
1.1405000;1.1417600;1.1299000;1.1414700
1.1402000;1.1417500;1.1402000;1.1407700
1.1428100;1.1408000;1.1399000;1.1403000
1.1432900;1.1443700;1.1389000;1.1428100
1.1480200;1.1450200;1.1410000;1.1433100
1.1444900;1.1501700;1.1405000;1.1480800
1.1458700;1.1514300;1.1434000;1.1444100
1.1453500;1.1488500;1.1433000;1.1459400
1.1448000;1.1461700;1.1452000;1.1462500
1.1434300;1.1462500;1.1444000;1.1448000
1.1412800;1.1460400;1.1422000;1.1434300
1.1368200;1.1444000;1.1400000;1.1412800
1.1342500;1.1416000;1.1360000;1.1368100
1.1322100;1.1369000;1.1323000;1.1342500
1.1321000;1.1350900;1.1319000;1.1322200
1.1321000;1.1325200;1.1317000;1.1326000
1.1276400;1.1329900;1.1321000;1.1321900
1.1331500;1.1330000;1.1265000;1.1276300
1.1266300;1.1339700;1.1256000;1.1331500
1.1291500;1.1341500;1.1262000;1.1266300
1.1299100;1.1310000;1.1247000;1.1291400
1.1294000;1.1306200;1.1233000;1.1299100
1.1300300;1.1299700;1.1289000;1.1285900
1.1314100;1.1300900;1.1281000;1.1300200
1.1342700;1.1334000;1.1288000;1.1314100
1.1339500;1.1357600;1.1274000;1.1342700
1.1338400;1.1371300;1.1324000;1.1339900
1.1332100;1.1366400;1.1319000;1.1338700
1.1334400;1.1355700;1.1315000;1.1332100
1.1345000;1.1334500;1.1328000;1.1330900
1.1361300;1.1347700;1.1330900;1.1347600
1.1391800;1.1367600;1.1324000;1.1361300
1.1371000;1.1402800;1.1344000;1.1391900
1.1373100;1.1403600;1.1361000;1.1371200
1.1364400;1.1419700;1.1357000;1.1373100
1.1362000;1.1408700;1.1350000;1.1363900
1.1385000;1.1368300;1.1361000;1.1370000
1.1342200;1.1389100;1.1370000;1.1387000
1.1307700;1.1387000;1.1308000;1.1342300
1.1311000;1.1343000;1.1288000;1.1307700
1.1181200;1.1324600;1.1284800;1.1311000
1.1231700;1.1320200;1.1175000;1.1180600
1.1234700;1.1246200;1.1178000;1.1231700
1.1232700;1.1235200;1.1229000;1.1237700
1.1243900;1.1244400;1.1230000;1.1231800
1.1285600;1.1258400;1.1220000;1.1244300
1.1326800;1.1304900;1.1242100;1.1286200
1.1303400;1.1338600;1.1276000;1.1325800
1.1323600;1.1338000;1.1293000;1.1303200
1.1324000;1.1344400;1.1296000;1.1326000
1.1320000;1.1326000;1.1324000;1.1322700
1.1335100;1.1326300;1.1315000;1.1320000
1.1351000;1.1359000;1.1317000;1.1335100
1.1413100;1.1361700;1.1331300;1.1351300
1.1372600;1.1448200;1.1334000;1.1412900
1.1299900;1.1437400;1.1341000;1.1372800
1.1300000;1.1390700;1.1272000;1.1300900
1.1289000;1.1301800;1.1299000;1.1284000
1.1311200;1.1292000;1.1282000;1.1289300
1.1263900;1.1331600;1.1288000;1.1311400
1.1243900;1.1326000;1.1262000;1.1265200
1.1218300;1.1285600;1.1241000;1.1243500
1.1217200;1.1261300;1.1212000;1.1218800
1.1217000;1.1247000;1.1208000;1.1215900
1.1229200;1.1217200;1.1215900;1.1223700
1.1212000;1.1240800;1.1219000;1.1226800
1.1203000;1.1250000;1.1202000;1.1212500
1.1232000;1.1216000;1.1182000;1.1203900
1.1219900;1.1254700;1.1197000;1.1231600
1.1214000;1.1247700;1.1205000;1.1218900
1.1212000;1.1248100;1.1209000;1.1216100
1.1217200;1.1216100;1.1212000;1.1217700
1.1260500;1.1219500;1.1214000;1.1213000
1.1261200;1.1274600;1.1209600;1.1262300
1.1273000;1.1284300;1.1253000;1.1261500
1.1251300;1.1287700;1.1228000;1.1272900
1.1296400;1.1287500;1.1248000;1.1251900
1.1298400;1.1323900;1.1250800;1.1298400
1.1303000;1.1298400;1.1298400;1.1298600
1.1303000;1.1305400;1.1293000;1.1303000
1.1279700;1.1321000;1.1296600;1.1302600
1.1293700;1.1314100;1.1278900;1.1280400
1.1228200;1.1323700;1.1277000;1.1292900
1.1242800;1.1304100;1.1224000;1.1229500
1.1244900;1.1248000;1.1226700;1.1243000
1.1244600;1.1244900;1.1243000;1.1243900
1.1256600;1.1247700;1.1238300;1.1245200
1.1227000;1.1262000;1.1234000;1.1256900
1.1152600;1.1261300;1.1191000;1.1226900
1.1130900;1.1229000;1.1139000;1.1152900
1.1144600;1.1162500;1.1117000;1.1130900
1.1149000;1.1174000;1.1109000;1.1146000
1.1146000;1.1149000;1.1146000;1.1154400
1.1184000;1.1158400;1.1140000;1.1144500
1.1215100;1.1186900;1.1143000;1.1185300
1.1194900;1.1229300;1.1174000;1.1214200
1.1171300;1.1264900;1.1186000;1.1194200
1.1201100;1.1219100;1.1169000;1.1170900
1.1193300;1.1205000;1.1134000;1.1193300
1.1172000;1.1193300;1.1193300;1.1165000
1.1197600;1.1186100;1.1157000;1.1177900
1.1189000;1.1209300;1.1167000;1.1198900
1.1191600;1.1217900;1.1165000;1.1190000
1.1213800;1.1213800;1.1181000;1.1191500
1.1232900;1.1251000;1.1172000;1.1213200
1.1237900;1.1253600;1.1211500;1.1237900
1.1234300;1.1237900;1.1237900;1.1234300
1.1220800;1.1234800;1.1229000;1.1232000
1.1202500;1.1263600;1.1220000;1.1221500
1.1200800;1.1244000;1.1200000;1.1203200
1.1173500;1.1224700;1.1176000;1.1199700
1.1155800;1.1224000;1.1164000;1.1173400
1.1158100;1.1184300;1.1154000;1.1158100
1.1164600;1.1158100;1.1158100;1.1161000
1.1165900;1.1167500;1.1150000;1.1159500
1.1158800;1.1175000;1.1148000;1.1166000
1.1150300;1.1188000;1.1140000;1.1158600
1.1181500;1.1180300;1.1147000;1.1149400
1.1202100;1.1187500;1.1106000;1.1181700
1.1202000;1.1212100;1.1171000;1.1202000
1.1208100;1.1202000;1.1202000;1.1190000
1.1191300;1.1212000;1.1189400;1.1208900
1.1159800;1.1215200;1.1185000;1.1190500
1.1130900;1.1198400;1.1158000;1.1160200
1.1128000;1.1172500;1.1122000;1.1130500
1.1166300;1.1143400;1.1115000;1.1128600
1.1168600;1.1179800;1.1124000;1.1169000
1.1165000;1.1169000;1.1168600;1.1167500
1.1240300;1.1173200;1.1152000;1.1163600
1.1250000;1.1262000;1.1159000;1.1240900
1.1221000;1.1277400;1.1225000;1.1251700
1.1275100;1.1306800;1.1218000;1.1220700
1.1331500;1.1309000;1.1200000;1.1275900
1.1333000;1.1347900;1.1250000;1.1331400
1.1322600;1.1333000;1.1331400;1.1320000
1.1310700;1.1327700;1.1307000;1.1322500
1.1325400;1.1330900;1.1289000;1.1311300
1.1287100;1.1337600;1.1300000;1.1325800
1.1276400;1.1343500;1.1281000;1.1286900
